,Game,Score
281,281,234.20969426140113
282,282,235.04491106441913
283,283,279.5593310713665
284,284,254.71260004656858
285,285,259.9762017328536
286,286,183.88308012304788
287,287,270.5937555328312
288,288,189.09511378023126
289,289,232.56986319340766
290,290,227.71642102177572
291,291,255.34305054371146
292,292,252.0850712946168
293,293,-190.27583008407416
294,294,220.90357705590964
295,295,269.1618457797507
296,296,288.1242715146165
297,297,-71.9275221184522
298,298,205.17869457502837
299,299,231.04512327023696
300,300,-261.0627722180092
301,301,295.1506712361778
302,302,224.2339769271898
303,303,254.3573005100479
304,304,145.08687711979462
305,305,223.05626584649502
306,306,216.5139720333254
307,307,10.646582958583892
308,308,273.58716653886086
309,309,241.08391492910496
310,310,-165.25485800217473
311,311,-72.06244568392762
312,312,232.10762119137544
313,313,217.21338051013345
314,314,255.82177656511226
315,315,257.6554461010228
316,316,136.66897106116565
317,317,-343.0697125194971
318,318,-215.772861679654
319,319,257.4225086057851
320,320,202.96511824313245
321,321,256.8458760961236
322,322,-225.2035938665557
323,323,253.4143890954935
324,324,224.34639370014142
325,325,172.55414782865927
326,326,-233.91176124049304
327,327,217.40025652088423
328,328,257.55267328845474
329,329,226.96852376674036
330,330,-224.23924568026
331,331,240.2526366244892
332,332,234.84660940811347
333,333,236.28592221885526
334,334,259.39311500178303
335,335,269.5992917265391
336,336,221.88822605414623
337,337,247.63603473199797
338,338,273.83584801316636
339,339,200.12887736927686
340,340,171.19026347429616
341,341,23.78032050504622
342,342,258.27094001249765
343,343,227.8119189126704
344,344,257.71572101370685
345,345,257.8102651477818
346,346,230.5145165153882
347,347,224.99393388982045
348,348,249.7244323666135
349,349,283.1252221294865
350,350,257.585360103074
351,351,233.2193117117174
352,352,125.22873884357715
353,353,224.50414752704324
354,354,223.7377072925574
355,355,285.9336021341381
356,356,187.83495206747077
357,357,213.06164279047408
358,358,213.75108442145176
359,359,275.97496033968605
360,360,202.47640918998195
361,361,273.7065823668471
362,362,279.94230736981217
363,363,-41.311761176554846
364,364,226.45468410644764
365,365,244.7543514054894
366,366,-168.57261443145816
367,367,280.11879584377107
368,368,208.59512938847075
369,369,18.905589414349492
370,370,253.49670997104764
371,371,99.99240441514831
372,372,238.15805209794658
373,373,194.9906235096969
374,374,-76.45118068622837
375,375,254.333622186918
376,376,266.1520080413176
377,377,242.3126761028909
378,378,277.5493513618021
379,379,184.8781692153022
380,380,3.0810216338148706
381,381,243.3965627911621
382,382,242.6051317029698
383,383,235.2089354116835
384,384,227.2006178041999
385,385,-46.08576593491232
386,386,227.5466864372699
387,387,258.2771997781419
388,388,279.94431679710647
389,389,188.1725702732192
